ds,Y
11/15/2022,29638.83203
11/16/2022,31679.83008
11/17/2022,31635.46094
11/18/2022,31901.67773
11/21/2022,31502.35156
11/22/2022,32345.37305
11/23/2022,33188.39453
11/24/2022,33720.82813
11/25/2022,35495.60547
11/28/2022,35051.91406
11/29/2022,36382.99609
11/30/2022,36471.73828
12/1/2022,34608.21875
12/2/2022,36560.47656
12/5/2022,36604.84375
12/6/2022,34696.95703
12/7/2022,34608.21875
12/8/2022,34608.21875
12/9/2022,34785.69531
12/12/2022,33809.56641
12/13/2022,34342
12/14/2022,34430.73828
12/15/2022,34608.21875
12/16/2022,34519.47656
12/19/2022,34430.73828
12/20/2022,34164.52344
12/21/2022,34253.26172
12/22/2022,34608.21875
12/23/2022,34608.21875
12/26/2022,34430.73828
12/27/2022,35495.60547
12/28/2022,37181.64844
12/29/2022,35495.60547
12/30/2022,34253.26172
